12, 9
0, 8, 2
0, 2, 2
0, 6, 2
0, 4, 2
0, 1, 2
0, 3, 2
1, 7, 2
1, 4, 2
1, 2, 2
1, 3, 2
1, 6, 2
1, 8, 2
2, 8, 2
2, 5, 2
2, 0, 2
2, 3, 2
2, 2, 2
2, 7, 2
3, 3, 2
3, 7, 2
3, 2, 2
3, 4, 2
3, 0, 2
3, 6, 2
4, 4, 2
4, 7, 2
4, 8, 2
4, 3, 2
4, 2, 2
4, 6, 2
5, 4, 2
5, 0, 2
5, 7, 2
5, 6, 2
5, 3, 2
5, 1, 2
6, 3, 2
6, 8, 2
6, 0, 2
6, 4, 2
6, 5, 2
6, 2, 2
7, 1, 2
7, 3, 2
7, 0, 2
7, 5, 2
7, 8, 2
7, 6, 2
8, 8, 2
8, 7, 2
8, 2, 2
8, 3, 2
8, 0, 2
8, 1, 2
9, 7, 2
9, 2, 2
9, 4, 2
9, 6, 2
9, 8, 2
9, 5, 2
10, 2, 2
10, 6, 2
10, 5, 2
10, 1, 2
10, 0, 2
10, 4, 2
11, 7, 2
11, 5, 2
11, 4, 2
11, 0, 2
11, 1, 2
11, 8, 2
